CLAVE      | MENSAJE DECODIFICADO      | ESTADO
ELOD       | UICRCLS                   | 
ELOR       | MLAQPDI                   | 
ELOU       | MTQMSTM                   | 
ELOI       | PQAOONP                   | 
ELOT       | CMYCCSR                   | 
ELOC       | SCMDCSS                   | 
ELOP       | ETDLCDQ                   | 
ELOM       | LENSDCY                   | 
ELOY       | ONUDRNM                   | 
ELOQ       | YDAYUAO                   | 
ELLE       | PLDQTTC                   | 
ELLA       | USEYRLE                   | 
ELLO       | SLONLUC                   | 
ELLL       | OPYPTQO                   | 
ELLS       | OIIEUIS                   | 
ELLN       | UARQULY                   | 
ELLD       | QOYQULQ                   | 
ELLR       | OAQTIPU                   | 
ELLU       | RLEAYAN                   | 
ELLI       | IMALNLY                   | 
ELLT       | UUIADAI                   | 
ELLC       | EETNCTE                   | 
ELLP       | TIRAAPY                   | 
ELLM       | STAITLO                   | 
ELLY       | POCQIOC                   | 
ELLQ       | QLTAUSR                   | 
ELSE       | ACDQMNU                   | 
ELSA       | SQPMLRP                   | 
ELSO       | PECTDOP                   | 
ELSL       | MMLPUCR                   | 
ELSS       | AMSSIEY                   | 
ELSN       | IEMLTOI                   | 
ELSD       | LOLAPOM                   | 
ELSR       | LOOYSLY                   | 
ELSU       | CNURRYN                   | 
ELSI       | MPMCNDD                   | 
ELST       | MMIOQYC                   | 
ELSC       | QYNPSSQ                   | 
ELSP       | MAOANLL                   | 
ELSM       | SLMTAER                   | 
ELSY       | MMMCNEL                   | 
ELSQ       | POTCRLN                   | 
ELNE       | PNTCCAP                   | 
ELNA       | NDOMPYI                   | 
ELNO       | SLYETNP                   | 
ELNL       | UETIYRA                   | 
ELNS       | OQPESDM                   | 
ELNN       | PTURNYM                   | 
ELND       | AOUUECN                   | 
ELNR       | LRANMOD                   | 
ELNU       | POLDRUU                   | 
ELNI       | MINYNPU                   | 
ELNT       | YEAQOPA                   | 
ELNC       | TPOMEQT                   | 
ELNP       | ODRLIOR                   | 
ELNM       | LCNEINI                   | 
ELNY       | PICCSUC                   | 
ELNQ       | TODMATR                   | 
ELDE       | CECSTCD                   | 
ELDA       | MLQRQLY                   | 
ELDO       | PUTPRTY                   | 
ELDL       | OIRCTSL                   | 
ELDS       | SMNQOTP                   | 
ELDN       | EYMDUDL                   | 
ELDD       | EMQEPAN                   | 
ELDR       | RPMOPLL                   | 
ELDU       | DTYSMQR                   | 
ELDI       | UTPOAAL                   | 
ELDT       | PSPUTPU                   | 
ELDC       | URLARMQ                   | 
ELDP       | TPNNILY                   | 
ELDM       | RLYSDNA                   | 
ELDY       | LISRQRE                   | 
ELDQ       | TNNYPQR                   | 
ELRE       | PRQQCYS                   | 
ELRA       | YARLIDS                   | 
ELRO       | TYROIPP                   | 
ELRL       | LODENMS                   | 
ELRS       | POISSTI                   | 
ELRN       | LMCOQRA                   | 
ELRD       | OCTYMRO                   | 
ELRR       | PEMAIPC                   | 
ELRU       | IAIODOI                   | 
ELRI       | AOSSTCT                   | 
ELRT       | TLEEMDQ                   | 
ELRC       | APENTLE                   | 
ELRP       | EQCDMYP                   | 
ELRM       | MCUUQIQ                   | 
ELRY       | SNMDRTP                   | 
ELRQ       | NIRLCNL                   | 
ELUE       | AMMTTMR                   | 
ELUA       | OSTNCAR                   | 
ELUO       | PSPUSQD                   | 
ELUL       | ANMUEUR                   | 
ELUS       | OMOCECD                   | 
ELUN       | MDQQYNY                   | 
ELUD       | AYRYRRR                   | 
ELUR       | UQUCQMM                   | 
ELUU       | OLSMSSI                   | 
ELUI       | MYRAECS                   | 
ELUT       | CEMQMCD                   | 
ELUC       | PLCMRMY                   | 
ELUP       | DAMSETS                   | 
ELUM       | UQIQIOU                   | 
ELUY       | NUPCDNY                   | 
ELUQ       | QNPTPTM                   | 
ELIE       | QUTLNLM                   | 
ELIA       | MPIMSEC                   | 
ELIO       | ADQEQLR                   | 
ELIL       | OASSOYR                   | 
ELIS       | MRONYYA                   | 
ELIN       | MORCQNC                   | 
ELID       | ULITUTY                   | 
ELIR       | IRDCTMR                   | 
ELIU       | TISDLAD                   | 
ELII       | RSAUCYP                   | 
ELIT       | DDDETNY                   | 
ELIC       | AULQLLA                   | 
ELIP       | RYTMNSU                   | 
ELIM       | NIPYREM                   | 
ELIY       | LLQIIYC                   | 
ELIQ       | ITTUROO                   | 
ELTE       | CLDPQYP                   | 
ELTA       | LRSONOP                   | 
ELTO       | QLRMDRC                   | 
ELTL       | ANMQCST                   | 
ELTS       | MNNLMYE                   | 
ELTN       | DNMROQY                   | 
ELTD       | UIOQNOA                   | 
ELTR       | ANOQDMP                   | 
ELTU       | INDDTTD                   | 
ELTI       | QNOOEDM                   | 
ELTT       | TENCTAU                   | 
ELTC       | TPQQOUC                   | 
ELTP       | MNYLYER                   | 
ELTM       | CYURQDY                   | 
ELTY       | NLOMTPR                   | 
ELTQ       | PIYIIUS                   | 
ELCE       | PIYDQOS                   | 
ELCA       | CDSTTCY                   | 
ELCO       | ELEYIIA                   | 
ELCL       | ECAEILM                   | 
ELCS       | PACUDRT                   | 
ELCN       | IOMDERA                   | 
ELCD       | EOEPNYP                   | 
ELCR       | MANIMYO                   | 
ELCU       | YDNRMMS                   | 
ELCI       | QLSYAAQ                   | 
ELCT       | IAACQPC                   | 
ELCC       | EPNPSMO                   | 
ELCP       | DUOELQS                   | 
ELCM       | YIDYSSP                   | 
ELCY       | OSPQIQM                   | 
ELCQ       | LCNIROL                   | 
ELPE       | LCOQNMA                   | 
ELPA       | DACAQDY                   | 
ELPO       | QEAOEUR                   | 
ELPL       | MNTEUMI                   | 
ELPS       | EOSLPDP                   | 
ELPN       | TYDPQAM                   | 
ELPD       | CTDIRLU                   | 
ELPR       | QSPCDUC                   | 
ELPU       | AADNPEP                   | 
ELPI       | QTLLULT                   | 
ELPT       | NSCTOOL                   | 
ELPC       | QSAAYQI                   | 
ELPP       | UTDEIQA                   | 
ELPM       | YOODDNI                   | 
ELPY       | INQCUET                   | 
ELPQ       | PQONYCE                   | 
ELME       | ONOLOSM                   | 
ELMA       | ACMEQNL                   | 
ELMO       | MIIUQTA                   | 
ELML       | RTQIOCE                   | 
ELMS       | ACITMTU                   | 
ELMN       | PYUDANS                   | 
ELMD       | PEACTTA                   | 
ELMR       | ITCORLO                   | 
ELMU       | TONQPRD                   | 
ELMI       | QNYMPER                   | 
ELMT       | MICPELP                   | 
ELMC       | EQDSLYP                   | 
ELMP       | DLLQULA                   | 
ELMM       | LNLYELD                   | 
ELMY       | QATORCD                   | 
ELMQ       | AAAACOU                   | 
ELYE       | OQMTLRD                   | 
ELYA       | PYEIDAI                   | 
ELYO       | RUUNMIC                   | 
ELYL       | DPDIPAP                   | 
ELYS       | PIREMAU                   | 
ELYN       | EPUCPCR                   | 
ELYD       | DECQUQC                   | 
ELYR       | NYLCODD                   | 
ELYU       | AUIEPTE                   | 
ELYI       | PPITQTT                   | 
ELYT       | PTDMDMA                   | 
ELYC       | QRANCYM                   | 
ELYP       | LMNSYDS                   | 
ELYM       | QUPDOPU                   | 
ELYY       | APCYSRT                   | 
ELYQ       | QCQENRN                   | 
ELQE       | TPMYLYL                   | 
ELQA       | RQRSUIY                   | 
ELQO       | ELTUMAA                   | 
ELQL       | APTRSNU                   | 
ELQS       | YNOQUMY                   | 
ELQN       | UTOSIQD                   | 
ELQD       | ANCPCAR                   | 
ELQR       | NTYQQUC                   | 
ELQU       | EUUSAPQ                   | 
ELQI       | LIRQYNC                   | 
ELQT       | MUASLYN                   | 
ELQC       | DSCQIEN                   | 
ELQP       | IYDULQR                   | 
ELQM       | LISQTAS                   | 
ELQY       | CDROPCM                   | 
ELQQ       | EEADESQ                   | 
ESEE       | ISDMDLU                   | 
ESEA       | OSCULCP                   | 
ESEO       | RMIOMML                   | 
ESEL       | QPRURLT                   | 
ESES       | UYYPUYL                   | 
ESEN       | IQDICUI                   | 
ESED       | YSCCDLP                   | 
ESER       | SCNSDET                   | 
ESEU       | ENMISNY                   | 
ESEI       | MAIROAL                   | 
ESET       | RCCEMYO                   | 
ESEC       | SCIRLTC                   | 
ESEP       | LQLOOOC                   | 
ESEM       | RDAIQLP                   | 
ESEY       | DPREMYC                   | 
ESEQ       | MYATACO                   | 
ESAE       | CDUCEEP                   | 
ESAA       | IIMNALM                   | 
ESAO       | ECDOOSE                   | 
ESAL       | YLLOYTL                   | 
ESAS       | AALRRDM                   | 
ESAN       | UOYQDYM                   | 
ESAD       | LTYEYIN                   | 
ESAR       | AOPYMQC                   | 
ESAU       | EQODIOY                   | 
ESAI       | QSOOCQU                   | 
ESAT       | SQUPATM                   | 
ESAC       | NYCPDSM                   | 
ESAP       | PDYOLQE                   | 
ESAM       | TUYAAYC                   | 
ESAY       | ERTUOYO                   | 
ESAQ       | OSAIPYN                   | 
ESOE       | RADCEPL                   | 
ESOA       | DRYDSAA                   | 
ESOO       | DCTTIUQ                   | 
ESOL       | PMQYYIN                   | 
ESOS       | DAARMUR                   | 
ESON       | DQYTYCS                   | 
ESOD       | UQSMLOL                   | 
ESOR       | MIMMSTP                   | 
ESOU       | MSRNAEA                   | 
ESOI       | SMOSACO                   | 
ESOT       | RIOSEIQ                   | 
ESOC       | TQAYRNO                   | 
ESOP       | UUQIITS                   | 
